city,lat,lng,country,iso2,admin_name,Regions,population,population_proper,cases,"(Upper tier) total cumulative confirmed covid cases per 100,000 population","(Lower tier) total cumulative confirmed covid cases per 100,000 population"
London,51.5072,-0.1275,United Kingdom,GB,"London, City of",London,10979000,8825001,"15,240",10967.90,2373.6
Birmingham,52.48,-1.9025,United Kingdom,GB,Birmingham,West Midlands,2897303,1137100,"13,012",13185.40,13230
Manchester,53.4794,-2.2453,United Kingdom,GB,Manchester,North West,2705000,547627,"7,667",15343.30,15384.7
Leeds,53.7997,-1.5492,United Kingdom,GB,Leeds,Yorkshire,1901934,789194,"14,461",13390.40,13451.2
Newcastle,55.0077,-1.6578,United Kingdom,GB,Newcastle upon Tyne,the North East,1650000,879996,"11,635",13712.70,13779.9
Birstall,52.6736,-1.12,United Kingdom,GB,Leicester,East Midlands ,1424216,1424216,"4,794",14857.50,14921.1
Glasgow,55.8609,-4.2514,United Kingdom,GB,Glasgow City,Scotland,985290,633120,"25,049",12648.80,12802.8
Liverpool,53.4,-2.9833,United Kingdom,GB,Liverpool,North West,864122,513441,"29,627",14724.60,14774
Portsmouth,50.8058,-1.0872,United Kingdom,GB,Portsmouth,South East,855679,238800,"42,986",10807.60,10868.1
Northampton,52.2405,0.9027,United Kingdom,GB,Northamptonshire,East Midlands ,"225,140","225,146","33,175",9892.00,
Southampton,50.9,-1.4,United Kingdom,GB,Southampton,South East,855569,269781,"16,694",10119.30,10161.3
Nottingham,52.95,-1.15,United Kingdom,GB,Nottingham,East Midlands ,768638,321500,"20,966",13920.30,13968
Bristol,51.45,-2.5833,United Kingdom,GB,"Bristol, City of",South West,724000,463400,"41,266",12245.60,12270.1
Sheffield,53.3833,-1.4667,United Kingdom,GB,Sheffield,Yorkshire,685368,518090,"30,360",11968.50,12012.3
Kingston upon Hull,53.7444,-0.3325,United Kingdom,GB,"Kingston upon Hull, City of",Yorkshire,573300,260200,"150,383",13309.70,13372.3
Gloucester,51.8642,2.2382,United Kingdom,GB,Gloucestershire,South West,"129,352","129,285","27,448",7111.20,
Leicester,52.6333,-1.1333,United Kingdom,GB,Leicester,East Midlands ,508916,329839,"18,396",14857.50,14921.1
Edinburgh,55.953,-3.189,United Kingdom,GB,"Edinburgh, City of",Scotland,488050,488050,"7,534",9310.00,
Caerdydd,51.4833,-3.1833,United Kingdom,GB,Cardiff,Wales,479000,361469,"41,992",9513.80,9570.4
Newport,51.5833,-3,United Kingdom,GB,Newport,Wales,128060,128060,"43,879",9874.30,9940.7
High Wycombe,51.6287,-0.7482,United Kingdom,GB,Buckinghamshire,South East,125257,120256,"11,762",9111.80,
Stoke-on-Trent,53,-2.1833,United Kingdom,GB,Stoke-on-Trent,West Midlands,372775,249008,"42,822",12182.90,12232.4
Coventry,52.4081,-1.5106,United Kingdom,GB,Coventry,West Midlands,362690,362690,"11,557",10313.70,10367.5
Reading,51.4542,-0.9731,United Kingdom,GB,Reading,South East,337108,230046,"74,358",10882.10,10924.5
Belfast,54.5964,-5.93,United Kingdom,GB,Belfast,Northern Ireland,333871,333871,"39,606",12046.40,12128.1
Derby,52.9167,-1.4667,United Kingdom,GB,Derby,East Midlands ,270500,248700,"16,526",11683.90,11752.9
Plymouth,50.3714,-4.1422,United Kingdom,GB,Plymouth,South West,267918,267918,"28,531",8822.10,8876.2
